,(treatmentProtected_D1_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D3_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D7_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D14_Prime - treatmentProtected_D0_Prime),(treatmentProtected_BD0_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD1_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD3_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD7_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD14_Boost - treatmentProtected_D0_Prime),(treatmentUnprotected_D1_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D3_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D7_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D14_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD0_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD1_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD3_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD7_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD14_Boost - treatmentUnprotected_D0_Prime),tiW0D1.vaccProt.grS...tiW0D0.vaccProt.grS,tiW0D3.vaccProt.grS..tiW0D0.vaccProt.grS,tiW0D7.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D0.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D1.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D3.vaccProt.grS..tiW0D0.vaccProt.grS,tiW0D1.vaccInfe.grS...tiW0D0.vaccInfe.grS,tiW0D3.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW0D7.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D0.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D1.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D7.vaccInfe.grS..tiW0D0.vaccInfe.grS
LCK,-0.459803256,-0.11638394,0.195255532,0.197511486,-0.470116075,-0.642567811,-0.124096127,0.013317078,-0.021353556,-0.003066285,0.213513672,0.404906991,0.442813008,0.18533186,0.041854182,0.120792362,0.210311191,0.258465251,-0.557711402,-0.347004755,0.176550032,-0.083010231,0.016937791,-0.191917458,-0.504254921,0.224891128,0.417507424,0.033939525,0.004533863,0.561414733
DRAM1,1.541910448,0.231588471,-0.091161667,-0.117279932,0.188146771,1.323112947,-0.002423404,-0.145873411,-0.201447299,0.699325031,0.166489738,-0.243317649,-0.262321336,-0.166346663,0.552944153,-0.122745287,-0.326987676,-0.415916537,0.66145041,0.395840458,0.043527552,0.442573533,0.22570884,0.418502031,0.286941453,-0.176256814,-0.402904798,0.079722192,0.191952153,-0.385471719
SDE2,0.76057335,0.151606428,0.028551178,-0.08025202,0.362494865,0.496802393,-0.062185483,0.088357288,0.110946054,0.436113855,0.185369898,-0.176878433,-0.045306214,0.031101231,0.166056983,-0.120859257,-0.051294078,-0.10785804,0.414099791,0.335726986,-0.118786167,0.545777181,0.627884333,0.612242817,0.339804914,0.046006516,-0.266264857,0.200626064,0.638554494,-0.060283392
AGFG2,-0.464762223,-0.119073695,0.312912409,0.278521521,-0.706015803,-0.756517654,-0.185679136,0.117778541,-0.15684361,0.00817398,0.245422026,0.586382626,0.610392756,0.102194257,0.022648008,0.249981654,0.395260457,0.416691045,-0.399087974,-0.240796889,0.048795697,-0.270187876,-0.057133688,-0.276896224,-0.282739114,0.35094505,0.425365927,-0.063970913,-0.199739494,0.492373368
SKAP1,-0.530900341,-0.192613284,0.21816649,0.121780972,-0.354864229,-0.75521885,-0.132950141,-0.091379191,-0.190783332,-0.217258336,0.069767038,0.373287956,0.300121822,0.123915141,-0.101948379,-0.078343682,0.130057735,0.118788812,-0.431010669,-0.311163655,0.093878997,0.156764351,0.057641028,0.020771063,-0.555921956,-0.006773392,0.105872775,0.034656196,0.00225884,0.324370678
DCUN1D3,0.741738923,-0.104440646,0.009628057,0.004939516,0.342629934,0.429972533,0.293972201,0.162262602,0.09895373,0.065365733,0.001798413,-0.158696912,0.038367013,-0.009848695,0.136410975,0.148644659,-0.031494695,0.023029155,0.293384275,0.687259288,0.380241827,0.678228779,-0.017847091,0.705509721,0.431685538,-0.151120478,-0.028419967,0.098550474,0.015411118,-0.200949958
LIN52,0.598077466,0.139158317,-0.046523064,0.04654477,0.287713606,0.420797975,0.160032773,-0.014636785,0.1349485,0.285589383,0.485224156,0.040584471,-0.102461786,0.151011389,0.169933894,0.198054875,0.124704555,0.164868434,0.508195201,0.612298833,0.423019696,0.452076978,0.028406636,0.656474545,0.230268069,-0.090538218,-0.132246173,0.239523556,-0.073894162,-0.705157552
FGL2,0.916937988,0.18386662,-0.378965773,-0.17525364,0.348597473,0.895701693,0.374835537,0.100505158,0.007411632,0.366152529,-0.012332531,-0.225857036,-0.357658301,-0.151596758,0.419582906,0.043397527,-0.12565784,-0.260283957,0.903344576,0.995931268,0.397645614,0.574013846,0.143048742,0.877473786,0.721047504,-0.058010559,-0.135057584,0.42634696,0.072766863,-0.492623998
KCNJ2,1.425886222,0.109323324,-0.458307229,-0.136865479,0.510686025,0.94356167,-0.130079862,0.312038367,0.216780289,0.437847272,-0.069409822,-0.44037926,-0.326155652,-0.22729524,0.08055167,-0.253242467,-0.420953894,-0.528048987,1.009077546,1.115888459,0.472211913,0.797917168,0.140823675,1.092367027,0.87014224,-0.025223945,-0.292783358,0.559219772,0.39923412,-0.33914349
BAZ1A,1.042265538,0.137811271,-0.039050288,-0.003503459,0.400519293,0.772756119,0.085891869,0.097845638,0.087315892,0.422309681,0.081896704,-0.146322364,-0.212919651,-0.066298832,0.210537085,-0.027484017,-0.210053408,-0.149190533,1.11973652,0.997900964,0.413965111,0.666594116,0.30887299,0.885238374,0.860338873,0.035051176,-0.237907928,0.354646706,0.132108826,-0.410331247
STX3,0.999086541,-0.131262766,-0.054454076,-0.099922188,0.714017272,0.926080726,-0.161776177,0.281875328,0.204686979,0.502447603,-0.274413052,-0.347261412,-0.235613001,-0.132110258,0.065942937,-0.197618255,-0.242644126,-0.247804342,0.777415406,0.33416235,-0.004984434,0.594891446,0.420783821,0.477911068,0.649453207,-0.227338004,-0.365543383,0.193576897,0.604267471,-0.140659338
PRF1,-1.020749025,-0.125451935,0.34055217,0.46313699,-0.613281222,-0.887200228,-0.172659423,0.106892792,0.130193611,-0.016948107,0.572996987,0.89356826,0.948755006,0.170988475,0.186315292,0.457200667,0.680838464,0.911328088,-0.557393379,-0.451420831,0.26138446,-0.059295276,0.303496996,0.004828338,-0.313659727,0.767498265,1.004603931,0.340921996,0.50687568,1.018816938
